"city","province","region","datetime_raw","temperature_c","humidity_percent","apparent_temp_c","fetch_time"
"Caloocan","Metro Manila","NCR","2026-06-08T00:00",27.4,88,33.5,2026-06-08 13:13:39.082136
"Caloocan","Metro Manila","NCR","2026-06-08T01:00",27.2,88,33.1,2026-06-08 13:13:39.082136
"Caloocan","Metro Manila","NCR","2026-06-08T02:00",26.6,92,32.7,2026-06-08 13:13:39.082136
"Caloocan","Metro Manila","NCR","2026-06-08T03:00",26.4,93,32.8,2026-06-08 13:13:39.082136
"Caloocan","Metro Manila","NCR","2026-06-08T04:00",26.5,93,33,2026-06-08 13:13:39.082136
"Caloocan","Metro Manila","NCR","2026-06-08T05:00",26.6,93,33.1,2026-06-08 13:13:39.082136
"Caloocan","Metro Manila","NCR","2026-06-08T06:00",26.9,93,33.6,2026-06-08 13:13:39.082136
"Caloocan","Metro Manila","NCR","2026-06-08T07:00",27.9,88,34.8,2026-06-08 13:13:39.082136
"Caloocan","Metro Manila","NCR","2026-06-08T08:00",29.1,78,35,2026-06-08 13:13:39.082136
"Caloocan","Metro Manila","NCR","2026-06-08T09:00",29.8,73,35.2,2026-06-08 13:13:39.082136
"Caloocan","Metro Manila","NCR","2026-06-08T10:00",30.3,70,35.6,2026-06-08 13:13:39.082136
"Caloocan","Metro Manila","NCR","2026-06-08T11:00",30.6,69,37.1,2026-06-08 13:13:39.082136
"Caloocan","Metro Manila","NCR","2026-06-08T12:00",30.7,69,36.8,2026-06-08 13:13:39.082136
"Caloocan","Metro Manila","NCR","2026-06-08T13:00",30.7,69,35.8,2026-06-08 13:13:39.082136
"Caloocan","Metro Manila","NCR","2026-06-08T14:00",30.6,69,36,2026-06-08 13:13:39.082136
"Caloocan","Metro Manila","NCR","2026-06-08T15:00",30.3,69,35.6,2026-06-08 13:13:39.082136
"Caloocan","Metro Manila","NCR","2026-06-08T16:00",30.2,70,35.8,2026-06-08 13:13:39.082136
"Caloocan","Metro Manila","NCR","2026-06-08T17:00",30,72,35.7,2026-06-08 13:13:39.082136
"Caloocan","Metro Manila","NCR","2026-06-08T18:00",29.5,76,35.3,2026-06-08 13:13:39.082136
"Caloocan","Metro Manila","NCR","2026-06-08T19:00",29,81,35.5,2026-06-08 13:13:39.082136
"Caloocan","Metro Manila","NCR","2026-06-08T20:00",28.9,82,35.5,2026-06-08 13:13:39.082136
"Caloocan","Metro Manila","NCR","2026-06-08T21:00",28.4,86,35,2026-06-08 13:13:39.082136
"Caloocan","Metro Manila","NCR","2026-06-08T22:00",28.2,87,34.7,2026-06-08 13:13:39.082136
"Caloocan","Metro Manila","NCR","2026-06-08T23:00",28.2,88,34.8,2026-06-08 13:13:39.082136
"Caloocan","Metro Manila","NCR","2026-06-09T00:00",28,89,34.5,2026-06-08 13:13:39.082136
"Caloocan","Metro Manila","NCR","2026-06-09T01:00",27.7,90,34.2,2026-06-08 13:13:39.082136
"Caloocan","Metro Manila","NCR","2026-06-09T02:00",27.6,90,34.1,2026-06-08 13:13:39.082136
"Caloocan","Metro Manila","NCR","2026-06-09T03:00",27.4,92,33.9,2026-06-08 13:13:39.082136
"Caloocan","Metro Manila","NCR","2026-06-09T04:00",27.3,92,33.7,2026-06-08 13:13:39.082136
"Caloocan","Metro Manila","NCR","2026-06-09T05:00",26.9,94,33.6,2026-06-08 13:13:39.082136
"Caloocan","Metro Manila","NCR","2026-06-09T06:00",27.2,93,34.2,2026-06-08 13:13:39.082136
"Caloocan","Metro Manila","NCR","2026-06-09T07:00",28.7,84,35.8,2026-06-08 13:13:39.082136
"Caloocan","Metro Manila","NCR","2026-06-09T08:00",29.7,75,35.5,2026-06-08 13:13:39.082136
"Caloocan","Metro Manila","NCR","2026-06-09T09:00",30.3,71,35.4,2026-06-08 13:13:39.082136
"Caloocan","Metro Manila","NCR","2026-06-09T10:00",30.6,71,36.1,2026-06-08 13:13:39.082136
"Caloocan","Metro Manila","NCR","2026-06-09T11:00",30.9,70,36.8,2026-06-08 13:13:39.082136
"Caloocan","Metro Manila","NCR","2026-06-09T12:00",31.1,68,37,2026-06-08 13:13:39.082136
"Caloocan","Metro Manila","NCR","2026-06-09T13:00",28.5,77,33.8,2026-06-08 13:13:39.082136
"Caloocan","Metro Manila","NCR","2026-06-09T14:00",29.7,74,35.2,2026-06-08 13:13:39.082136
"Caloocan","Metro Manila","NCR","2026-06-09T15:00",29.9,74,35.2,2026-06-08 13:13:39.082136
"Caloocan","Metro Manila","NCR","2026-06-09T16:00",29.9,75,35.2,2026-06-08 13:13:39.082136
"Caloocan","Metro Manila","NCR","2026-06-09T17:00",29.5,77,34.5,2026-06-08 13:13:39.082136
"Caloocan","Metro Manila","NCR","2026-06-09T18:00",29.2,79,34.5,2026-06-08 13:13:39.082136
"Caloocan","Metro Manila","NCR","2026-06-09T19:00",28.9,82,34.7,2026-06-08 13:13:39.082136
"Caloocan","Metro Manila","NCR","2026-06-09T20:00",28.7,82,34.5,2026-06-08 13:13:39.082136
"Caloocan","Metro Manila","NCR","2026-06-09T21:00",26,92,31,2026-06-08 13:13:39.082136
